,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１０月累計,１月～１０月累計,１月～１０月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１３年(A),１２年(B),(A/B),本月,本年
本田技研,計,1533,1820,84.2,1314,116.7,7812,93/04,15656,14812,105.7,28.2,28.0
スズキ,計,604,625,96.6,424,142.5,4868,85/04,5914,4811,122.9,11.1,10.6
ヤマハ,計,581,561,103.6,490,118.6,7198,85/04,6278,5281,118.9,10.7,11.2
カワサキ,計,676,628,107.6,953,70.9,5607,91/04,8918,9578,93.1,12.4,15.9
その他,計,2037,1688,120.7,1861,109.5,3190,07/04,19241,17886,107.6,37.5,34.4
合計,計,5431,5322,102.0,5042,107.7,22617,85/04,56007,52368,106.9,100,100
