,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,798,420,190.0,528,151.1,,,1218,843,144.5,48.5,43.1,53.0,49.4
本田技研,４０１以上,708,542,130.6,526,134.6,,,1250,929,134.6,19.3,19.8,47.0,50.6
本田技研,計,1506,962,156.5,1054,142.9,7812,93/4,2468,1772,139.3,28.3,27.0,100,100
スズキ,251～400,199,244,81.6,249,79.9,,,443,460,96.3,12.1,15.7,35.5,39.1
スズキ,４０１以上,362,329,110.0,378,95.8,,,691,560,123.4,9.9,11.0,64.5,60.9
スズキ,計,561,573,97.9,627,89.5,4868,85/4,1134,1020,111.2,10.6,12.4,100,100
ヤマハ,251～400,429,344,124.7,320,134.1,,,773,598,129.3,26.0,27.3,50.2,50.4
ヤマハ,４０１以上,426,336,126.8,523,81.5,,,762,842,90.5,11.6,12.1,49.8,49.6
ヤマハ,計,855,680,125.7,843,101.4,7198,85/4,1535,1440,106.6,16.1,16.8,100,100
カワサキ,251～400,188,132,142.4,208,90.4,,,320,352,90.9,11.4,11.3,23.9,23.9
カワサキ,４０１以上,599,418,143.3,570,105.1,,,1017,1014,100.3,16.3,16.1,76.1,76.1
カワサキ,計,787,550,143.1,778,101.2,5607,91/4,1337,1366,97.9,14.8,14.7,100,100
その他,251～400,33,40,82.5,25,132.0,,,73,58,125.9,2.0,2.6,2.1,2.8
その他,４０１以上,1573,1005,156.5,1246,126.2,,,2578,2049,125.8,42.9,40.9,97.9,97.2
その他,計,1606,1045,153.7,1271,126.4,2096,01/6,2651,2107,125.8,30.2,29.1,100,100
合計,251～400,1647,1180,139.6,1330,123.8,,,2827,2311,122.3,100,100,31.0,31.0
合計,４０１以上,3668,2630,139.5,3243,113.1,,,6298,5394,116.8,100,100,69.0,69.0
合計,計,5315,3810,139.5,4573,116.2,22617,85/4,9125,7705,118.4,100,100,100,100
