,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１０月累計,１月～１０月累計,１月～１０月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,656,830,79.0,801,81.9,,,8854,11894,74.4,31.6,35.0,44.7,46.8
本田技研,４０１以上,811,848,95.6,734,110.5,,,10055,10892,92.3,20.5,20.9,55.3,53.2
本田技研,計,1467,1678,87.4,1535,95.6,7812,93/4,18909,22786,83.0,24.3,25.8,100,100
スズキ,251～400,402,443,90.7,368,109.2,,,4111,5255,78.2,19.3,16.3,56.5,45.7
スズキ,４０１以上,310,416,74.5,317,97.8,,,4876,4516,108.0,7.8,10.2,43.5,54.3
スズキ,計,712,859,82.9,685,103.9,4868,85/4,8987,9771,92.0,11.8,12.3,100,100
ヤマハ,251～400,627,819,76.6,932,67.3,,,7955,10748,74.0,30.2,31.5,47.2,48.7
ヤマハ,４０１以上,700,688,101.7,631,110.9,,,8382,9891,84.7,17.7,17.5,52.8,51.3
ヤマハ,計,1327,1507,88.1,1563,84.9,7198,85/4,16337,20639,79.2,22.0,22.3,100,100
カワサキ,251～400,355,483,73.5,392,90.6,,,3916,5168,75.8,17.1,15.5,27.5,26.6
カワサキ,４０１以上,934,992,94.2,855,109.2,,,10826,12336,87.8,23.6,22.6,72.5,73.4
カワサキ,計,1289,1475,87.4,1247,103.4,5607,91/4,14742,17504,84.2,21.4,20.1,100,100
その他,251～400,39,35,111.4,13,300.0,,,445,288,154.5,1.9,1.8,3.2,3.1
その他,４０１以上,1195,1367,87.4,1154,103.6,,,13859,12334,112.4,30.3,28.9,96.8,96.9
その他,計,1234,1402,88.0,1167,105.7,1795,00/6,14304,12622,113.3,20.5,19.5,100,100
合計,251～400,2079,2610,79.7,2506,83.0,,,25281,33353,75.8,100,100,34.5,34.5
合計,４０１以上,3950,4311,91.6,3691,107.0,,,47998,49969,96.1,100,100,65.5,65.5
合計,計,6029,6921,87.1,6197,97.3,22617,85/4,73279,83322,87.9,100,100,100,100
