,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,528,315,167.6,614,86.0,,,843,983,85.8,39.7,36.5,50.1,47.6
本田技研,４０１以上,526,403,130.5,1012,52.0,,,929,1559,59.6,16.2,17.2,49.9,52.4
本田技研,計,1054,718,146.8,1626,64.8,7812,93/4,1772,2542,69.7,23.0,23.0,100,100
スズキ,251～400,249,211,118.0,268,92.9,,,460,489,94.1,18.7,19.9,39.7,45.1
スズキ,４０１以上,378,182,207.7,257,147.1,,,560,469,119.4,11.7,10.4,60.3,54.9
スズキ,計,627,393,159.5,525,119.4,4868,85/4,1020,958,106.5,13.7,13.2,100,100
ヤマハ,251～400,320,278,115.1,415,77.1,,,598,800,74.8,24.1,25.9,38.0,41.5
ヤマハ,４０１以上,523,319,163.9,439,119.1,,,842,777,108.4,16.1,15.6,62.0,58.5
ヤマハ,計,843,597,141.2,854,98.7,7198,85/4,1440,1577,91.3,18.4,18.7,100,100
カワサキ,251～400,208,144,144.4,264,78.8,,,352,453,77.7,15.6,15.2,26.7,25.8
カワサキ,４０１以上,570,444,128.4,619,92.1,,,1014,1158,87.6,17.6,18.8,73.3,74.2
カワサキ,計,778,588,132.3,883,88.1,5607,91/4,1366,1611,84.8,17.0,17.7,100,100
その他,251～400,25,33,75.8,7,357.1,,,58,18,322.2,1.9,2.5,2.0,2.8
その他,４０１以上,1246,803,155.2,1037,120.2,,,2049,1785,114.8,38.4,38.0,98.0,97.2
その他,計,1271,836,152.0,1044,121.7,1795,00/6,2107,1803,116.9,27.8,27.3,100,100
合計,251～400,1330,981,135.6,1568,84.8,,,2311,2743,84.3,100,100,29.1,30.0
合計,４０１以上,3243,2151,150.8,3364,96.4,,,5394,5748,93.8,100,100,70.9,70.0
合計,計,4573,3132,146.0,4932,92.7,22617,85/4,7705,8491,90.7,100,100,100,100
