,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～３月累計,１月～３月累計,１月～３月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1099,798,137.7,663,165.8,,,2317,1506,153.9,43.9,43.5,44.6,47.0
本田技研,４０１以上,1367,708,193.1,1322,103.4,,,2617,2251,116.3,26.4,22.8,55.4,53.0
本田技研,計,2466,1506,163.7,1985,124.2,7812,93/4,4934,3757,131.3,32.1,29.4,100,100
スズキ,251～400,406,199,204.0,373,108.8,,,849,833,101.9,16.2,15.9,48.1,42.9
スズキ,４０１以上,438,362,121.0,781,56.1,,,1129,1341,84.2,8.5,9.8,51.9,57.1
スズキ,計,844,561,150.4,1154,73.1,4868,85/4,1978,2174,91.0,11.0,11.8,100,100
ヤマハ,251～400,677,429,157.8,937,72.3,,,1450,1535,94.5,27.0,27.2,51.3,50.8
ヤマハ,４０１以上,642,426,150.7,906,70.9,,,1404,1748,80.3,12.4,12.2,48.7,49.2
ヤマハ,計,1319,855,154.3,1843,71.6,7198,85/4,2854,3283,86.9,17.2,17.0,100,100
カワサキ,251～400,268,188,142.6,342,78.4,,,588,694,84.7,10.7,11.0,21.6,22.8
カワサキ,４０１以上,973,599,162.4,925,105.2,,,1990,1939,102.6,18.8,17.3,78.4,77.2
カワサキ,計,1241,787,157.7,1267,97.9,5607,91/4,2578,2633,97.9,16.2,15.3,100,100
その他,251～400,53,33,160.6,32,165.6,,,126,90,140.0,2.1,2.4,2.9,2.8
その他,４０１以上,1760,1573,111.9,1620,108.6,,,4338,3669,118.2,34.0,37.8,97.1,97.2
その他,計,1813,1606,112.9,1652,109.7,2096,01/6,4464,3759,118.8,23.6,26.6,100,100
合計,251～400,2503,1647,152.0,2347,106.6,,,5330,4658,114.4,100,100,32.6,31.7
合計,４０１以上,5180,3668,141.2,5554,93.3,,,11478,10948,104.8,100,100,67.4,68.3
合計,計,7683,5315,144.6,7901,97.2,22617,85/4,16808,15606,107.7,100,100,100,100
