,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１２月累計,１月～１２月累計,１月～１２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,506,594,85.2,724,69.9,,,10623,8263,128.6,35.6,38.8,50.0,49.0
本田技研,４０１以上,505,485,104.1,656,77.0,,,11049,12244,90.2,13.9,19.9,50.0,51.0
本田技研,計,1011,1079,93.7,1380,73.3,7812,93/4,21672,20507,105.7,20.0,26.1,100,100
スズキ,251～400,268,286,93.7,254,105.5,,,3755,4023,93.3,18.8,13.7,45.7,39.5
スズキ,４０１以上,319,290,110.0,400,79.8,,,5746,6296,91.3,8.8,10.3,54.3,60.5
スズキ,計,587,576,101.9,654,89.8,4868,85/4,9501,10319,92.1,11.6,11.5,100,100
ヤマハ,251～400,398,556,71.6,485,82.1,,,9089,10409,87.3,28.0,33.2,52.6,53.7
ヤマハ,４０１以上,358,373,96.0,626,57.2,,,7845,9984,78.6,9.9,14.1,47.4,46.3
ヤマハ,計,756,929,81.4,1111,68.0,7198,85/4,16934,20393,83.0,15.0,20.4,100,100
カワサキ,251～400,206,188,109.6,206,100.0,,,3275,3861,84.8,14.5,12.0,31.5,24.8
カワサキ,４０１以上,447,510,87.6,530,84.3,,,9951,10456,95.2,12.3,17.9,68.5,75.2
カワサキ,計,653,698,93.6,736,88.7,5607,91/4,13226,14317,92.4,12.9,15.9,100,100
その他,251～400,44,44,100.0,51,86.3,,,644,565,114.0,3.1,2.4,2.2,3.0
その他,４０１以上,2001,1359,147.2,1875,106.7,,,20984,19511,107.5,55.1,37.8,97.8,97.0
その他,計,2045,1403,145.8,1926,106.2,2603,02/4,21628,20076,107.7,40.5,26.1,100,100
合計,251～400,1422,1668,85.3,1720,82.7,,,27386,27121,101.0,100,100,28.1,33.0
合計,４０１以上,3630,3017,120.3,4087,88.8,,,55575,58491,95.0,100,100,71.9,67.0
合計,計,5052,4685,107.8,5807,87.0,22617,85/4,82961,85612,96.9,100,100,100,100
