,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～６月累計,１月～６月累計,１月～６月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,940,1025,91.7,778,120.8,,,5728,3864,148.2,37.9,40.7,49.2,47.9
本田技研,４０１以上,971,1058,91.8,1505,64.5,,,6235,6344,98.3,17.8,20.8,50.8,52.1
本田技研,計,1911,2083,91.7,2283,83.7,7812,93/4,11963,10208,117.2,24.0,27.1,100,100
スズキ,251～400,280,267,104.9,413,67.8,,,1757,2105,83.5,11.3,12.5,28.1,37.8
スズキ,４０１以上,715,465,153.8,567,126.1,,,2891,3606,80.2,13.1,9.6,71.9,62.2
スズキ,計,995,732,135.9,980,101.5,4868,85/4,4648,5711,81.4,12.5,10.5,100,100
ヤマハ,251～400,909,972,93.5,1140,79.7,,,4608,5100,90.4,36.6,32.7,56.0,52.2
ヤマハ,４０１以上,713,900,79.2,1015,70.2,,,4213,5038,83.6,13.1,14.0,44.0,47.8
ヤマハ,計,1622,1872,86.6,2155,75.3,7198,85/4,8821,10138,87.0,20.4,20.0,100,100
カワサキ,251～400,291,333,87.4,391,74.4,,,1650,1917,86.1,11.7,11.7,21.4,22.1
カワサキ,４０１以上,1071,1034,103.6,1097,97.6,,,5825,5645,103.2,19.6,19.4,78.6,77.9
カワサキ,計,1362,1367,99.6,1488,91.5,5607,91/4,7475,7562,98.8,17.1,16.9,100,100
その他,251～400,63,97,64.9,67,94.0,,,336,259,129.7,2.5,2.4,3.1,3.0
その他,４０１以上,1993,1997,99.8,2029,98.2,,,10881,9474,114.9,36.5,36.2,96.9,97.0
その他,計,2056,2094,98.2,2096,98.1,2603,02/4,11217,9733,115.2,25.9,25.4,100,100
合計,251～400,2483,2694,92.2,2789,89.0,,,14079,13245,106.3,100,100,31.2,31.9
合計,４０１以上,5463,5454,100.2,6213,87.9,,,30045,30107,99.8,100,100,68.8,68.1
合計,計,7946,8148,97.5,9002,88.3,22617,85/4,44124,43352,101.8,100,100,100,100
