,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～９月累計,１月～９月累計,１月～９月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,671,790,84.9,830,80.8,,,6259,8198,76.3,31.1,29.3,40.5,39.0
本田技研,４０１以上,984,1056,93.2,848,116.0,,,9808,9244,106.1,22.8,21.3,59.5,61.0
本田技研,計,1655,1846,89.7,1678,98.6,7812,93/4,16067,17442,92.1,25.6,23.9,100,100
スズキ,251～400,287,360,79.7,443,64.8,,,3187,3709,85.9,13.3,14.9,44.0,38.9
スズキ,４０１以上,366,487,75.2,416,88.0,,,5010,4566,109.7,8.5,10.9,56.0,61.1
スズキ,計,653,847,77.1,859,76.0,4868,85/4,8197,8275,99.1,10.1,12.2,100,100
ヤマハ,251～400,830,1112,74.6,819,101.3,,,8391,7328,114.5,38.5,39.3,52.1,50.9
ヤマハ,４０１以上,762,1167,65.3,688,110.8,,,8105,7682,105.5,17.7,17.6,47.9,49.1
ヤマハ,計,1592,2279,69.9,1507,105.6,7198,85/4,16496,15010,109.9,24.6,24.5,100,100
カワサキ,251～400,319,418,76.3,483,66.0,,,3092,3561,86.8,14.8,14.5,28.3,26.3
カワサキ,４０１以上,808,1030,78.4,992,81.5,,,8649,9892,87.4,18.7,18.8,71.7,73.7
カワサキ,計,1127,1448,77.8,1475,76.4,5607,91/4,11741,13453,87.3,17.4,17.4,100,100
その他,251～400,51,55,92.7,35,145.7,,,425,406,104.7,2.4,2.0,3.5,2.9
その他,４０１以上,1390,1623,85.6,1367,101.7,,,14401,12664,113.7,32.3,31.3,96.5,97.1
その他,計,1441,1678,85.9,1402,102.8,2096,01/6,14826,13070,113.4,22.3,22.0,100,100
合計,251～400,2158,2735,78.9,2610,82.7,,,21354,23202,92.0,100,100,33.4,31.7
合計,４０１以上,4310,5363,80.4,4311,100.0,,,45973,44048,104.4,100,100,66.6,68.3
合計,計,6468,8098,79.9,6921,93.5,22617,85/4,67327,67250,100.1,100,100,100,100
