,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～３月累計,１月～３月累計,１月～３月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,663,528,125.6,989,67.0,,,1506,1972,76.4,28.2,32.3,33.4,40.1
本田技研,４０１以上,1322,526,251.3,910,145.3,,,2251,2469,91.2,23.8,20.6,66.6,59.9
本田技研,計,1985,1054,188.3,1899,104.5,7812,93/4,3757,4441,84.6,25.1,24.1,100,100
スズキ,251～400,373,249,149.8,381,97.9,,,833,870,95.7,15.9,17.9,32.3,38.3
スズキ,４０１以上,781,378,206.6,359,217.5,,,1341,828,162.0,14.1,12.2,67.7,61.7
スズキ,計,1154,627,184.1,740,155.9,4868,85/4,2174,1698,128.0,14.6,13.9,100,100
ヤマハ,251～400,937,320,292.8,772,121.4,,,1535,1572,97.6,39.9,33.0,50.8,46.8
ヤマハ,４０１以上,906,523,173.2,1112,81.5,,,1748,1889,92.5,16.3,16.0,49.2,53.2
ヤマハ,計,1843,843,218.6,1884,97.8,7198,85/4,3283,3461,94.9,23.3,21.0,100,100
カワサキ,251～400,342,208,164.4,360,95.0,,,694,813,85.4,14.6,14.9,27.0,26.4
カワサキ,４０１以上,925,570,162.3,1059,87.3,,,1939,2217,87.5,16.7,17.7,73.0,73.6
カワサキ,計,1267,778,162.9,1419,89.3,5607,91/4,2633,3030,86.9,16.0,16.9,100,100
その他,251～400,32,25,128.0,12,266.7,,,90,30,300.0,1.4,1.9,1.9,2.4
その他,４０１以上,1620,1246,130.0,1591,101.8,,,3669,3376,108.7,29.2,33.5,98.1,97.6
その他,計,1652,1271,130.0,1603,103.1,1795,00/6,3759,3406,110.4,20.9,24.1,100,100
合計,251～400,2347,1330,176.5,2514,93.4,,,4658,5257,88.6,100,100,29.7,29.8
合計,４０１以上,5554,3243,171.3,5031,110.4,,,10948,10779,101.6,100,100,70.3,70.2
合計,計,7901,4573,172.8,7545,104.7,22617,85/4,15606,16036,97.3,100,100,100,100
