,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,684,1016,67.3,1025,66.7,,,3482,4788,72.7,31.1,35.3,46.7,46.1
本田技研,４０１以上,780,1173,66.5,1058,73.7,,,4063,5264,77.2,15.8,17.9,53.3,53.9
本田技研,計,1464,2189,66.9,2083,70.3,7812,93/4,7545,10052,75.1,20.5,23.1,100,100
スズキ,251～400,308,335,91.9,267,115.4,,,1431,1477,96.9,14.0,14.5,35.7,35.1
スズキ,４０１以上,555,868,63.9,465,119.4,,,2642,2176,121.4,11.2,11.6,64.3,64.9
スズキ,計,863,1203,71.7,732,117.9,4868,85/4,4073,3653,111.5,12.1,12.5,100,100
ヤマハ,251～400,838,1100,76.2,972,86.2,,,3467,3699,93.7,38.1,35.2,55.0,52.3
ヤマハ,４０１以上,687,982,70.0,900,76.3,,,3165,3500,90.4,13.9,13.9,45.0,47.7
ヤマハ,計,1525,2082,73.2,1872,81.5,7198,85/4,6632,7199,92.1,21.3,20.3,100,100
カワサキ,251～400,301,385,78.2,333,90.4,,,1184,1359,87.1,13.7,12.0,26.7,23.5
カワサキ,４０１以上,826,1221,67.6,1034,79.9,,,3853,4754,81.0,16.7,16.9,73.3,76.5
カワサキ,計,1127,1606,70.2,1367,82.4,5607,91/4,5037,6113,82.4,15.8,15.4,100,100
その他,251～400,67,75,89.3,97,69.1,,,296,273,108.4,3.0,3.0,3.1,3.2
その他,４０１以上,2103,2580,81.5,1997,105.3,,,9025,8888,101.5,42.5,39.7,96.9,96.8
その他,計,2170,2655,81.7,2094,103.6,2655,03/4,9321,9161,101.7,30.4,28.6,100,100
合計,251～400,2198,2911,75.5,2694,81.6,,,9860,11596,85.0,100,100,30.7,30.2
合計,４０１以上,4951,6824,72.6,5454,90.8,,,22748,24582,92.5,100,100,69.3,69.8
合計,計,7149,9735,73.4,8148,87.7,22617,85/4,32608,36178,90.1,100,100,100,100
