,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１１年(A),１０年(B),(A / B),本月,本年
本田技研,計,597,936,63.8,574,104.0,7812,93/4,597,574,104.0,21.0,21.0
スズキ,計,335,395,84.8,414,80.9,4868,85/4,335,414,80.9,11.8,11.8
ヤマハ,計,288,393,73.3,392,73.5,7198,85/4,288,392,73.5,10.1,10.1
カワサキ,計,768,526,146.0,450,170.7,5607,91/4,768,450,170.7,27.0,27.0
その他,計,856,1918,44.6,879,97.4,3190,07/4,856,879,97.4,30.1,30.1
合計,計,2844,4168,68.2,2709,105.0,22617,85/4,2844,2709,105.0,100,100
