,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０７年(A),０６年(B),(A / B),本月,本年
本田技研,計,3348,1538,217.7,2682,124.8,7812,93/4,6882,6944,99.1,25.5,25.0
スズキ,計,1951,710,274.8,1181,165.2,4868,85/4,3897,3323,117.3,14.9,14.2
ヤマハ,計,2171,757,286.8,1921,113.0,7198,85/4,4507,4801,93.9,16.6,16.4
カワサキ,計,2450,762,321.5,1830,133.9,5607,91/4,4958,3846,128.9,18.7,18.0
その他,計,"※3,190",1636,195.0,2715,117.5,2732,04/4,7295,7220,101.0,24.3,26.5
合計,計,13110,5403,242.6,10329,126.9,22617,85/4,27539,26134,105.4,100,100
