,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,891,663,134.4,1328,67.1,,,2397,3300,72.6,27.7,30.4,37.6,39.1
本田技研,４０１以上,1480,1322,112.0,1700,87.1,,,3731,4169,89.5,19.7,20.2,62.4,60.9
本田技研,計,2371,1985,119.4,3028,78.3,7812,93/4,6128,7469,82.0,22.1,23.3,100,100
スズキ,251～400,483,373,129.5,626,77.2,,,1316,1496,88.0,15.0,16.7,31.5,35.5
スズキ,４０１以上,1052,781,134.7,1060,99.2,,,2393,1888,126.7,14.0,13.0,68.5,64.5
スズキ,計,1535,1154,133.0,1686,91.0,4868,85/4,3709,3384,109.6,14.3,14.1,100,100
ヤマハ,251～400,1336,937,142.6,1134,117.8,,,2871,2706,106.1,41.6,36.5,49.2,47.9
ヤマハ,４０１以上,1377,906,152.0,1374,100.2,,,3125,3263,95.8,18.3,16.9,50.8,52.1
ヤマハ,計,2713,1843,147.2,2508,108.2,7198,85/4,5996,5969,100.5,25.3,22.8,100,100
カワサキ,251～400,460,342,134.5,511,90.0,,,1154,1324,87.2,14.3,14.7,22.8,24.8
カワサキ,４０１以上,1559,925,168.5,1995,78.1,,,3498,4212,83.0,20.8,19.0,77.2,75.2
カワサキ,計,2019,1267,159.4,2506,80.6,5607,91/4,4652,5536,84.0,18.8,17.7,100,100
※その他,251～400,44,32,137.5,18,244.4,,,134,48,279.2,1.4,1.7,2.1,2.3
※その他,４０１以上,2037,1620,125.7,1725,118.1,,,5706,5101,111.9,27.1,30.9,97.9,97.7
※その他,計,2081,1652,126.0,1743,119.4,1795,00/6,5840,5149,113.4,19.4,22.2,100,100
合計,251～400,3214,2347,136.9,3617,88.9,,,7872,8874,88.7,100,100,30.0,29.9
合計,４０１以上,7505,5554,135.1,7854,95.6,,,18453,18633,99.0,100,100,70.0,70.1
合計,計,10719,7901,135.7,11471,93.4,22617,85/4,26325,27507,95.7,100,100,100,100
