Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 1月累計,1月～ 1月累計,1月～ 1月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,17年A,16年B,(A/B),本月,本年
ホンダ,811,858,94.5,529,153.3,7812,1993年04月,811,529,153.3,27.5,27.5
スズキ,240,297,80.8,320,75.0,4868,1985年04月,240,320,75.0,8.1,8.1
ヤマハ,440,625,70.4,613,71.8,7198,1985年04月,440,613,71.8,14.9,14.9
カワサキ,402,459,87.6,546,73.6,5607,1991年04月,402,546,73.6,13.6,13.6
その他,1058,2153,49.1,1147,92.2,3190,2007年04月,1058,1147,92.2,35.9,35.9
計,2951,4392,67.2,3155,93.5,22617,1985年04月,2951,3155,93.5,100.0,100.0
