,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～８月累計,１月～８月累計,１月～８月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,790,934,84.6,1056,74.8,,,5588,7368,75.8,28.9,29.1,42.8,38.8
本田技研,４０１以上,1056,1424,74.2,853,123.8,,,8824,8396,105.1,19.7,21.2,57.2,61.2
本田技研,計,1846,2358,78.3,1909,96.7,7812,93/4,14412,15764,91.4,22.8,23.7,100,100
スズキ,251～400,360,435,82.8,553,65.1,,,2900,3266,88.8,13.2,15.1,42.5,38.4
スズキ,４０１以上,487,551,88.4,444,109.7,,,4644,4150,111.9,9.1,11.1,57.5,61.6
スズキ,計,847,986,85.9,997,85.0,4868,85/4,7544,7416,101.7,10.5,12.4,100,100
ヤマハ,251～400,1112,1349,82.4,960,115.8,,,7561,6509,116.2,40.7,39.4,48.8,50.7
ヤマハ,４０１以上,1167,1138,102.5,875,133.4,,,7343,6994,105.0,21.8,17.6,51.2,49.3
ヤマハ,計,2279,2487,91.6,1835,124.2,7198,85/4,14904,13503,110.4,28.1,24.5,100,100
カワサキ,251～400,418,438,95.4,472,88.6,,,2773,3078,90.1,15.3,14.4,28.9,26.1
カワサキ,４０１以上,1030,1166,88.3,1086,94.8,,,7841,8900,88.1,19.2,18.8,71.1,73.9
カワサキ,計,1448,1604,90.3,1558,92.9,5607,91/4,10614,11978,88.6,17.9,17.4,100,100
その他,251～400,55,60,91.7,64,85.9,,,374,371,100.8,2.0,1.9,3.3,2.8
その他,４０１以上,1623,1914,84.8,1453,111.7,,,13011,11297,115.2,30.3,31.2,96.7,97.2
その他,計,1678,1974,85.0,1517,110.6,2096,01/6,13385,11668,114.7,20.7,22.0,100,100
合計,251～400,2735,3216,85.0,3105,88.1,,,19196,20592,93.2,100,100,33.8,31.5
合計,４０１以上,5363,6193,86.6,4711,113.8,,,41663,39737,104.8,100,100,66.2,68.5
合計,計,8098,9409,86.1,7816,103.6,22617,85/4,60859,60329,100.9,100,100,100,100
