,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１１月累計,１月～１１月累計,１月～１１月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０７年(A),０６年(B),(A / B),本月,本年
本田技研,計,1289,1489,86.6,1320,97.7,7812,93/4,18722,19254,97.2,22.7,24.4
スズキ,計,1005,901,111.5,751,133.8,4868,85/4,10442,10493,99.5,17.7,13.6
ヤマハ,計,665,797,83.4,704,94.5,7198,85/4,12181,13492,90.3,11.7,15.9
カワサキ,計,745,869,85.7,1059,70.3,5607,91/4,12440,12258,101.5,13.1,16.2
その他,計,1968,2302,85.5,1884,104.5,3190,07/4,22862,21790,104.9,34.7,29.8
合計,計,5672,6358,89.2,5718,99.2,22617,85/4,76647,77287,99.2,100,100
