,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～10月累計,1月～10月累計,1月～10月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,９９年(A),９８年(B),(A / B),本月,本年
本田技研,1535,1988,77.2,1956,78.5,7812,93/4,22786,26617,85.6,24.8,27.3
スズキ,685,901,76.0,804,85.2,4868,85/4,9771,8271,118.1,11.1,11.7
ヤマハ,1563,1848,84.6,2181,71.7,7198,85/4,20639,25970,79.5,25.2,24.8
カワサキ,1247,1567,79.6,1503,83.0,5607,91/4,17504,19831,88.3,20.1,21.0
その他,1167,1168,99.9,1182,98.7,1630,98/4,12622,11637,108.5,18.8,15.1
合計,6197,7472,82.9,7626,81.3,22617,85/4,83322,92326,90.2,100.0,100.0
