,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１１月累計,１月～１１月累計,１月～１１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,618,656,94.2,631,97.9,,,9472,12525,75.6,36.0,35.1,48.8,46.9
本田技研,４０１以上,648,811,79.9,718,90.3,,,10703,11610,92.2,18.2,20.8,51.2,53.1
本田技研,計,1266,1467,86.3,1349,93.8,7812,93/4,20175,24135,83.6,24.0,25.7,100,100
スズキ,251～400,333,402,82.8,279,119.4,,,4444,5534,80.3,19.4,16.5,49.1,46.0
スズキ,４０１以上,345,310,111.3,220,156.8,,,5221,4736,110.2,9.7,10.1,50.9,54.0
スズキ,計,678,712,95.2,499,135.9,4868,85/4,9665,10270,94.1,12.9,12.3,100,100
ヤマハ,251～400,453,627,72.2,652,69.5,,,8408,11400,73.8,26.4,31.1,45.6,48.5
ヤマハ,４０１以上,540,700,77.1,532,101.5,,,8922,10423,85.6,15.2,17.3,54.4,51.5
ヤマハ,計,993,1327,74.8,1184,83.9,7198,85/4,17330,21823,79.4,18.8,22.1,100,100
カワサキ,251～400,300,355,84.5,297,101.0,,,4216,5465,77.1,17.5,15.6,28.3,26.7
カワサキ,４０１以上,759,934,81.3,685,110.8,,,11585,13021,89.0,21.3,22.5,71.7,73.3
カワサキ,計,1059,1289,82.2,982,107.8,5607,91/4,15801,18486,85.5,20.1,20.1,100,100
その他,251～400,15,39,38.5,8,187.5,,,460,296,155.4,0.9,1.7,1.2,3.0
その他,４０１以上,1264,1195,105.8,1135,111.4,,,15123,13469,112.3,35.5,29.3,98.8,97.0
その他,計,1279,1234,103.6,1143,111.9,1795,00/6,15583,13765,113.2,24.2,19.8,100,100
合計,251～400,1719,2079,82.7,1867,92.1,,,27000,35220,76.7,100,100,32.6,34.4
合計,４０１以上,3556,3950,90.0,3290,108.1,,,51554,53259,96.8,100,100,67.4,65.6
合計,計,5275,6029,87.5,5157,102.3,22617,85/4,78554,88479,88.8,100,100,100,100
