Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 3月累計,1月～ 3月累計,1月～ 3月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,19年A,18年B,(A/B),本月,本年
ホンダ,964,747,129.0,1121,86.0,7812,1993年04月,2807,2527,111.1,19.0,21.3
スズキ,395,344,114.8,386,102.3,4868,1985年04月,1003,896,111.9,7.8,7.6
ヤマハ,710,635,111.8,667,106.4,7198,1985年04月,1850,1630,113.5,14.0,14.0
カワサキ,1296,1162,111.5,1269,102.1,5607,1991年04月,3396,3275,103.7,25.6,25.7
その他,1701,1383,123.0,1655,102.8,3190,2007年04月,4136,3910,105.8,33.6,31.4
計,5066,4271,118.6,5098,99.4,22617,1985年04月,13192,12238,107.8,100.0,100.0
