,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０８年(A),０７年(B),(A / B),本月,本年
本田技研,計,1527,1094,139.6,1096,139.3,7812,93/4,2621,1996,131.3,29.4,29.1
スズキ,計,682,618,110.4,711,95.9,4868,85/4,1300,1236,105.2,13.1,14.4
ヤマハ,計,760,413,184.0,981,77.5,7198,85/4,1173,1579,74.3,14.6,13.0
カワサキ,計,625,497,125.8,936,66.8,5607,91/4,1122,1746,64.3,12.0,12.5
その他,計,1595,1198,133.1,1441,110.7,3190,07/4,2793,2469,113.1,30.7,31.0
合計,計,5189,3820,135.8,5165,100.5,22617,85/4,9009,9026,99.8,100,100
