,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～4月累計,1月～4月累計,1月～4月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,９９年(A),９８年(B),(A / B),本月,本年
本田技研,3536,3252,108.7,4332,81.6,7812,93/4,9503,11247,84.5,26.4,29.0
スズキ,1778,871,204.1,1234,144.1,4868,85/4,3785,3070,123.3,13.3,11.6
ヤマハ,3277,1969,166.4,3854,85.0,7198,85/4,7495,8747,85.7,24.5,22.9
カワサキ,3200,2023,158.2,3185,100.5,5607,91/4,7178,8064,89.0,23.9,21.9
その他,1601,1586,100.9,1630,98.2,1630,98/4,4797,4328,110.8,12.0,14.6
合計,13392,9701,138.0,14235,94.1,22617,85/4,32758,35456,92.4,100.0,100.0
