,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1446,1099,131.6,891,162.3,,,3763,2397,157.0,40.5,42.3,47.6,47.2
本田技研,４０１以上,1589,1367,116.2,1480,107.4,,,4206,3731,112.7,20.8,22.0,52.4,52.8
本田技研,計,3035,2466,123.1,2371,128.0,7812,93/4,7969,6128,130.0,27.0,28.4,100,100
スズキ,251～400,361,406,88.9,483,74.7,,,1210,1316,91.9,10.1,13.6,38.3,41.4
スズキ,４０１以上,582,438,132.9,1052,55.3,,,1711,2393,71.5,7.6,8.9,61.7,58.6
スズキ,計,943,844,111.7,1535,61.4,4868,85/4,2921,3709,78.8,8.4,10.4,100,100
ヤマハ,251～400,1277,677,188.6,1336,95.6,,,2727,2871,95.0,35.8,30.6,51.6,51.2
ヤマハ,４０１以上,1196,642,186.3,1377,86.9,,,2600,3125,83.2,15.6,13.6,48.4,48.8
ヤマハ,計,2473,1319,187.5,2713,91.2,7198,85/4,5327,5996,88.8,22.0,19.0,100,100
カワサキ,251～400,438,268,163.4,460,95.2,,,1026,1154,88.9,12.3,11.5,20.2,21.6
カワサキ,４０１以上,1730,973,177.8,1559,111.0,,,3720,3498,106.3,22.6,19.4,79.8,78.4
カワサキ,計,2168,1241,174.7,2019,107.4,5607,91/4,4746,4652,102.0,19.3,16.9,100,100
その他,251～400,50,53,94.3,44,113.6,,,176,134,131.3,1.4,2.0,1.9,2.5
その他,４０１以上,2553,1760,145.1,2037,125.3,,,6891,5706,120.8,33.4,36.0,98.1,97.5
その他,計,2603,1813,143.6,2081,125.1,2096,01/6,7067,5840,121.0,23.2,25.2,100,100
合計,251～400,3572,2503,142.7,3214,111.1,,,8902,7872,113.1,100,100,31.8,31.8
合計,４０１以上,7650,5180,147.7,7505,101.9,,,19128,18453,103.7,100,100,68.2,68.2
合計,計,11222,7683,146.1,10719,104.7,22617,85/4,28030,26325,106.5,100,100,100,100
