,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～８月累計,１月～８月累計,１月～８月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1056,1004,105.2,1407,75.1,,,7368,9915,74.3,34.0,35.8,55.3,46.7
本田技研,４０１以上,853,1068,79.9,888,96.1,,,8396,9348,89.8,18.1,21.1,44.7,53.3
本田技研,計,1909,2072,92.1,2295,83.2,7812,93/4,15764,19263,81.8,24.4,26.1,100,100
スズキ,251～400,553,390,141.8,544,101.7,,,3266,4448,73.4,17.8,15.9,55.5,44.0
スズキ,４０１以上,444,631,70.4,430,103.3,,,4150,3737,111.1,9.4,10.4,44.5,56.0
スズキ,計,997,1021,97.6,974,102.4,4868,85/4,7416,8185,90.6,12.8,12.3,100,100
ヤマハ,251～400,960,1046,91.8,1212,79.2,,,6509,8796,74.0,30.9,31.6,52.3,48.2
ヤマハ,４０１以上,875,934,93.7,964,90.8,,,6994,8432,82.9,18.6,17.6,47.7,51.8
ヤマハ,計,1835,1980,92.7,2176,84.3,7198,85/4,13503,17228,78.4,23.5,22.4,100,100
カワサキ,251～400,472,494,95.5,551,85.7,,,3078,4251,72.4,15.2,14.9,30.3,25.7
カワサキ,４０１以上,1086,1202,90.3,938,115.8,,,8900,10439,85.3,23.1,22.4,69.7,74.3
カワサキ,計,1558,1696,91.9,1489,104.6,5607,91/4,11978,14690,81.5,19.9,19.9,100,100
その他,251～400,64,101,63.4,12,533.3,,,371,254,146.1,2.1,1.8,4.2,3.2
その他,４０１以上,1453,1600,90.8,1244,116.8,,,11297,10033,112.6,30.8,28.4,95.8,96.8
その他,計,1517,1701,89.2,1256,120.8,1795,00/6,11668,10287,113.4,19.4,19.3,100,100
合計,251～400,3105,3035,102.3,3726,83.3,,,20592,27664,74.4,100,100,39.7,34.1
合計,４０１以上,4711,5435,86.7,4464,105.5,,,39737,41989,94.6,100,100,60.3,65.9
合計,計,7816,8470,92.3,8190,95.4,22617,85/4,60329,69653,86.6,100,100,100,100
