,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１１年(A),１０年(B),(A / B),本月,本年
本田技研,計,811,597,135.8,721,112.5,7812,93/4,1408,1295,108.7,21.8,21.5
スズキ,計,407,335,121.5,485,83.9,4868,85/4,742,899,82.5,11.0,11.3
ヤマハ,計,411,288,142.7,459,89.5,7198,85/4,699,851,82.1,11.1,10.7
カワサキ,計,1021,768,132.9,445,229.4,5607,91/4,1789,895,199.9,27.5,27.3
その他,計,1062,856,124.1,1168,90.9,3190,07/4,1918,2047,93.7,28.6,29.3
合計,計,3712,2844,130.5,3278,113.2,22617,85/4,6556,5987,109.5,100,100
