,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1097,940,116.7,934,117.5,,,6825,4798,142.2,37.7,40.2,47.5,47.8
本田技研,４０１以上,1213,971,124.9,1424,85.2,,,7448,7768,95.9,19.2,20.5,52.5,52.2
本田技研,計,2310,1911,120.9,2358,98.0,7812,93/4,14273,12566,113.6,25.0,26.7,100,100
スズキ,251～400,338,280,120.7,435,77.7,,,2095,2540,82.5,11.6,12.3,27.8,35.7
スズキ,４０１以上,878,715,122.8,551,159.3,,,3769,4157,90.7,13.9,10.4,72.2,64.3
スズキ,計,1216,995,122.2,986,123.3,4868,85/4,5864,6697,87.6,13.2,11.0,100,100
ヤマハ,251～400,1044,909,114.9,1349,77.4,,,5652,6449,87.6,35.9,33.3,53.7,52.5
ヤマハ,４０１以上,901,713,126.4,1138,79.2,,,5114,6176,82.8,14.2,14.1,46.3,47.5
ヤマハ,計,1945,1622,119.9,2487,78.2,7198,85/4,10766,12625,85.3,21.1,20.2,100,100
カワサキ,251～400,347,291,119.2,438,79.2,,,1997,2355,84.8,11.9,11.8,24.1,22.4
カワサキ,４０１以上,1092,1071,102.0,1166,93.7,,,6917,6811,101.6,17.3,19.0,75.9,77.6
カワサキ,計,1439,1362,105.7,1604,89.7,5607,91/4,8914,9166,97.3,15.6,16.7,100,100
その他,251～400,82,63,130.2,60,136.7,,,418,319,131.0,2.8,2.5,3.5,3.1
その他,４０１以上,2246,1993,112.7,1914,117.3,,,13127,11388,115.3,35.5,36.1,96.5,96.9
その他,計,2328,2056,113.2,1974,117.9,2603,02/4,13545,11707,115.7,25.2,25.4,100,100
合計,251～400,2908,2483,117.1,3216,90.4,,,16987,16461,103.2,100,100,31.5,31.8
合計,４０１以上,6330,5463,115.9,6193,102.2,,,36375,36300,100.2,100,100,68.5,68.2
合計,計,9238,7946,116.3,9409,98.2,22617,85/4,53362,52761,101.1,100,100,100,100
