,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１２月累計,１月～１２月累計,１月～１２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,724,623,116.2,446,162.3,,,8263,9918,83.3,42.1,30.5,52.5,40.3
本田技研,４０１以上,656,782,83.9,648,101.2,,,12244,11351,107.9,16.1,20.9,47.5,59.7
本田技研,計,1380,1405,98.2,1094,126.1,7812,93/4,20507,21269,96.4,23.8,24.0,100,100
スズキ,251～400,254,272,93.4,326,77.9,,,4023,4770,84.3,14.8,14.8,38.8,39.0
スズキ,４０１以上,400,476,84.0,317,126.2,,,6296,5538,113.7,9.8,10.8,61.2,61.0
スズキ,計,654,748,87.4,643,101.7,4868,85/4,10319,10308,100.1,11.3,12.1,100,100
ヤマハ,251～400,485,668,72.6,419,115.8,,,10409,8827,117.9,28.2,38.4,43.7,51.0
ヤマハ,４０１以上,626,525,119.2,543,115.3,,,9984,9465,105.5,15.3,17.1,56.3,49.0
ヤマハ,計,1111,1193,93.1,962,115.5,7198,85/4,20393,18292,111.5,19.1,23.8,100,100
カワサキ,251～400,206,260,79.2,296,69.6,,,3861,4512,85.6,12.0,14.2,28.0,27.0
カワサキ,４０１以上,530,536,98.9,755,70.2,,,10456,12340,84.7,13.0,17.9,72.0,73.0
カワサキ,計,736,796,92.5,1051,70.0,5607,91/4,14317,16852,85.0,12.7,16.7,100,100
その他,251～400,51,33,154.5,40,127.5,,,565,500,113.0,3.0,2.1,2.6,2.8
その他,４０１以上,1875,1645,114.0,1619,115.8,,,19511,16742,116.5,45.9,33.4,97.4,97.2
その他,計,1926,1678,114.8,1659,116.1,2096,01/6,20076,17242,116.4,33.2,23.4,100,100
合計,251～400,1720,1856,92.7,1527,112.6,,,27121,28527,95.1,100,100,29.6,31.7
合計,４０１以上,4087,3964,103.1,3882,105.3,,,58491,55436,105.5,100,100,70.4,68.3
合計,計,5807,5820,99.8,5409,107.4,22617,85/4,85612,83963,102.0,100,100,100,100
