,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,934,778,120.1,1004,93.0,,,4798,6312,76.0,29.0,29.1,39.6,38.2
本田技研,４０１以上,1424,1505,94.6,1068,133.3,,,7768,7543,103.0,23.0,21.4,60.4,61.8
本田技研,計,2358,2283,103.3,2072,113.8,7812,93/4,12566,13855,90.7,25.1,23.8,100,100
スズキ,251～400,435,413,105.3,390,111.5,,,2540,2713,93.6,13.5,15.4,44.1,37.9
スズキ,４０１以上,551,567,97.2,631,87.3,,,4157,3706,112.2,8.9,11.5,55.9,62.1
スズキ,計,986,980,100.6,1021,96.6,4868,85/4,6697,6419,104.3,10.5,12.7,100,100
ヤマハ,251～400,1349,1140,118.3,1046,129.0,,,6449,5549,116.2,41.9,39.2,54.2,51.1
ヤマハ,４０１以上,1138,1015,112.1,934,121.8,,,6176,6119,100.9,18.4,17.0,45.8,48.9
ヤマハ,計,2487,2155,115.4,1980,125.6,7198,85/4,12625,11668,108.2,26.4,23.9,100,100
カワサキ,251～400,438,391,112.0,494,88.7,,,2355,2606,90.4,13.6,14.3,27.3,25.7
カワサキ,４０１以上,1166,1097,106.3,1202,97.0,,,6811,7814,87.2,18.8,18.8,72.7,74.3
カワサキ,計,1604,1488,107.8,1696,94.6,5607,91/4,9166,10420,88.0,17.0,17.4,100,100
その他,251～400,60,67,89.6,101,59.4,,,319,307,103.9,1.9,1.9,3.0,2.7
その他,４０１以上,1914,2029,94.3,1600,119.6,,,11388,9844,115.7,30.9,31.4,97.0,97.3
その他,計,1974,2096,94.2,1701,116.0,2096,01/6,11707,10151,115.3,21.0,22.2,100,100
合計,251～400,3216,2789,115.3,3035,106.0,,,16461,17487,94.1,100,100,34.2,31.2
合計,４０１以上,6193,6213,99.7,5435,113.9,,,36300,35026,103.6,100,100,65.8,68.8
合計,計,9409,9002,104.5,8470,111.1,22617,85/4,52761,52513,100.5,100,100,100,100
