,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１１月累計,１月～１１月累計,１月～１１月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１２年(A),１１年(B),(A / B),本月,本年
本田技研,計,1101,1314,83.8,759,145.1,7812,93/4,15913,11207,142.0,24.6,28.0
スズキ,計,329,424,77.6,358,91.9,4868,85/4,5140,5386,95.4,7.4,9.0
ヤマハ,計,384,490,78.4,334,115.0,7198,85/4,5665,5337,106.1,8.6,10.0
カワサキ,計,811,953,85.1,679,119.4,5607,91/4,10389,9989,104.0,18.2,18.3
その他,計,1842,1861,99.0,1529,120.5,3190,07/4,19728,17797,110.9,41.2,34.7
合計,計,4467,5042,88.6,3659,122.1,22617,85/4,56835,49716,114.3,100,100
