,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,315,446,70.6,369,85.4,,,315,369,85.4,32.1,32.1,43.9,43.9
本田技研,４０１以上,403,648,62.2,547,73.7,,,403,547,73.7,18.7,18.7,56.1,56.1
本田技研,計,718,1094,65.6,916,78.4,7812,93/4,718,916,78.4,22.9,22.9,100,100
スズキ,251～400,211,326,64.7,221,95.5,,,211,221,95.5,21.5,21.5,53.7,53.7
スズキ,４０１以上,182,317,57.4,212,85.8,,,182,212,85.8,8.5,8.5,46.3,46.3
スズキ,計,393,643,61.1,433,90.8,4868,85/4,393,433,90.8,12.5,12.5,100,100
ヤマハ,251～400,278,419,66.3,385,72.2,,,278,385,72.2,28.3,28.3,46.6,46.6
ヤマハ,４０１以上,319,543,58.7,338,94.4,,,319,338,94.4,14.8,14.8,53.4,53.4
ヤマハ,計,597,962,62.1,723,82.6,7198,85/4,597,723,82.6,19.1,19.1,100,100
カワサキ,251～400,144,296,48.6,189,76.2,,,144,189,76.2,14.7,14.7,24.5,24.5
カワサキ,４０１以上,444,755,58.8,539,82.4,,,444,539,82.4,20.6,20.6,75.5,75.5
カワサキ,計,588,1051,55.9,728,80.8,5607,91/4,588,728,80.8,18.8,18.8,100,100
その他,251～400,33,40,82.5,11,300.0,,,33,11,300.0,3.4,3.4,3.9,3.9
その他,４０１以上,803,1619,49.6,748,107.4,,,803,748,107.4,37.3,37.3,96.1,96.1
その他,計,836,1659,50.4,759,110.1,1795,00/6,836,759,110.1,26.7,26.7,100,100
合計,251～400,981,1527,64.2,1175,83.5,,,981,1175,83.5,100,100,31.3,31.3
合計,４０１以上,2151,3882,55.4,2384,90.2,,,2151,2384,90.2,100,100,68.7,68.7
合計,計,3132,5409,57.9,3559,88.0,22617,85/4,3132,3559,88.0,100,100,100,100
