,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,689,891,77.3,948,72.7,,,3086,4248,72.6,26.7,29.5,38.3,38.9
本田技研,４０１以上,1108,1480,74.9,1144,96.9,,,4839,5313,91.1,20.4,20.3,61.7,61.1
本田技研,計,1797,2371,75.8,2092,85.9,7812,93/4,7925,9561,82.9,22.4,23.1,100,100
スズキ,251～400,376,483,77.8,430,87.4,,,1692,1926,87.9,14.6,16.2,36.8,35.8
スズキ,４０１以上,646,1052,61.4,612,105.6,,,3039,2500,121.6,11.9,12.7,63.2,64.2
スズキ,計,1022,1535,66.6,1042,98.1,4868,85/4,4731,4426,106.9,12.7,13.8,100,100
ヤマハ,251～400,1089,1336,81.5,853,127.7,,,3960,3559,111.3,42.1,37.9,54.8,49.6
ヤマハ,４０１以上,898,1377,65.2,957,93.8,,,4023,4220,95.3,16.5,16.8,45.2,50.4
ヤマハ,計,1987,2713,73.2,1810,109.8,7198,85/4,7983,7779,102.6,24.8,23.2,100,100
カワサキ,251～400,372,460,80.9,395,94.2,,,1526,1719,88.8,14.4,14.6,26.2,25.1
カワサキ,４０１以上,1050,1559,67.4,1194,87.9,,,4548,5406,84.1,19.3,19.0,73.8,74.9
カワサキ,計,1422,2019,70.4,1589,89.5,5607,91/4,6074,7125,85.2,17.7,17.7,100,100
その他,251～400,58,44,131.8,29,200.0,,,192,77,249.4,2.2,1.8,3.2,2.5
その他,４０１以上,1739,2037,85.4,1477,117.7,,,7445,6578,113.2,32.0,31.2,96.8,97.5
その他,計,1797,2081,86.4,1506,119.3,2081,01/4,7637,6655,114.8,22.4,22.2,100,100
合計,251～400,2584,3214,80.4,2655,97.3,,,10456,11529,90.7,100,100,32.2,30.4
合計,４０１以上,5441,7505,72.5,5384,101.1,,,23894,24017,99.5,100,100,67.8,69.6
合計,計,8025,10719,74.9,8039,99.8,22617,85/4,34350,35546,96.6,100,100,100,100
