,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,420,724,58.0,315,133.3,,,420,315,133.3,35.6,35.6,43.7,43.7
本田技研,４０１以上,542,656,82.6,403,134.5,,,542,403,134.5,20.6,20.6,56.3,56.3
本田技研,計,962,1380,69.7,718,134.0,7812,93/4,962,718,134.0,25.2,25.2,100,100
スズキ,251～400,244,254,96.1,211,115.6,,,244,211,115.6,20.7,20.7,42.6,42.6
スズキ,４０１以上,329,400,82.3,182,180.8,,,329,182,180.8,12.5,12.5,57.4,57.4
スズキ,計,573,654,87.6,393,145.8,4868,85/4,573,393,145.8,15.0,15.0,100,100
ヤマハ,251～400,344,485,70.9,278,123.7,,,344,278,123.7,29.2,29.2,50.6,50.6
ヤマハ,４０１以上,336,626,53.7,319,105.3,,,336,319,105.3,12.8,12.8,49.4,49.4
ヤマハ,計,680,1111,61.2,597,113.9,7198,85/4,680,597,113.9,17.8,17.8,100,100
カワサキ,251～400,132,206,64.1,144,91.7,,,132,144,91.7,11.2,11.2,24.0,24.0
カワサキ,４０１以上,418,530,78.9,444,94.1,,,418,444,94.1,15.9,15.9,76.0,76.0
カワサキ,計,550,736,74.7,588,93.5,5607,91/4,550,588,93.5,14.4,14.4,100,100
その他,251～400,40,51,78.4,33,121.2,,,40,33,121.2,3.4,3.4,3.8,3.8
その他,４０１以上,1005,1875,53.6,803,125.2,,,1005,803,125.2,38.2,38.2,96.2,96.2
その他,計,1045,1926,54.3,836,125.0,2096,01/6,1045,836,125.0,27.4,27.4,100,100
合計,251～400,1180,1720,68.6,981,120.3,,,1180,981,120.3,100,100,31.0,31.0
合計,４０１以上,2630,4087,64.4,2151,122.3,,,2630,2151,122.3,100,100,69.0,69.0
合計,計,3810,5807,65.6,3132,121.6,22617,85/4,3810,3132,121.6,100,100,100,100
