,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～９月累計,１月～９月累計,１月～９月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,891,1016,87.7,671,132.8,,,8732,6259,139.5,34.8,39.3,52.0,48.4
本田技研,４０１以上,822,1056,77.8,984,83.5,,,9326,9808,95.1,20.6,20.7,48.0,51.6
本田技研,計,1713,2072,82.7,1655,103.5,7812,93/4,18058,16067,112.4,26.2,26.8,100,100
スズキ,251～400,487,261,186.6,287,169.7,,,2843,3187,89.2,19.0,12.8,52.2,37.3
スズキ,４０１以上,446,572,78.0,366,121.9,,,4787,5010,95.5,11.2,10.6,47.8,62.7
スズキ,計,933,833,112.0,653,142.9,4868,85/4,7630,8197,93.1,14.2,11.3,100,100
ヤマハ,251～400,820,988,83.0,830,98.8,,,7460,8391,88.9,32.1,33.6,56.0,53.4
ヤマハ,４０１以上,643,745,86.3,762,84.4,,,6502,8105,80.2,16.1,14.4,44.0,46.6
ヤマハ,計,1463,1733,84.4,1592,91.9,7198,85/4,13962,16496,84.6,22.3,20.8,100,100
カワサキ,251～400,311,328,94.8,319,97.5,,,2636,3092,85.3,12.2,11.9,30.8,23.9
カワサキ,４０１以上,698,761,91.7,808,86.4,,,8376,8649,96.8,17.5,18.6,69.2,76.1
カワサキ,計,1009,1089,92.7,1127,89.5,5607,91/4,11012,11741,93.8,15.4,16.4,100,100
その他,251～400,48,56,85.7,51,94.1,,,522,425,122.8,1.9,2.4,3.4,3.1
その他,４０１以上,1382,1575,87.7,1390,99.4,,,16084,14401,111.7,34.6,35.7,96.6,96.9
その他,計,1430,1631,87.7,1441,99.2,2603,02/4,16606,14826,112.0,21.8,24.7,100,100
合計,251～400,2557,2649,96.5,2158,118.5,,,22193,21354,103.9,100,100,39.1,33.0
合計,４０１以上,3991,4709,84.8,4310,92.6,,,45075,45973,98.0,100,100,60.9,67.0
合計,計,6548,7358,89.0,6468,101.2,22617,85/4,67268,67327,99.9,100,100,100,100
