,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1016,693,146.6,1446,70.3,,,2798,3763,74.4,34.9,36.5,46.4,46.0
本田技研,４０１以上,1173,949,123.6,1589,73.8,,,3283,4206,78.1,17.2,18.4,53.6,54.0
本田技研,計,2189,1642,133.3,3035,72.1,7812,93/4,6081,7969,76.3,22.5,23.9,100,100
スズキ,251～400,335,339,98.8,361,92.8,,,1123,1210,92.8,11.5,14.7,27.8,35.0
スズキ,４０１以上,868,652,133.1,582,149.1,,,2087,1711,122.0,12.7,11.7,72.2,65.0
スズキ,計,1203,991,121.4,943,127.6,4868,85/4,3210,2921,109.9,12.4,12.6,100,100
ヤマハ,251～400,1100,737,149.3,1277,86.1,,,2629,2727,96.4,37.8,34.3,52.8,51.5
ヤマハ,４０１以上,982,680,144.4,1196,82.1,,,2478,2600,95.3,14.4,13.9,47.2,48.5
ヤマハ,計,2082,1417,146.9,2473,84.2,7198,85/4,5107,5327,95.9,21.4,20.1,100,100
カワサキ,251～400,385,223,172.6,438,87.9,,,883,1026,86.1,13.2,11.5,24.0,22.6
カワサキ,４０１以上,1221,761,160.4,1730,70.6,,,3027,3720,81.4,17.9,17.0,76.0,77.4
カワサキ,計,1606,984,163.2,2168,74.1,5607,91/4,3910,4746,82.4,16.5,15.4,100,100
その他,251～400,75,69,108.7,50,150.0,,,229,176,130.1,2.6,3.0,2.8,3.2
その他,４０１以上,2580,1840,140.2,2553,101.1,,,6922,6891,100.4,37.8,38.9,97.2,96.8
その他,計,2655,1909,139.1,2603,102.0,2603,02/4,7151,7067,101.2,27.3,28.1,100,100
合計,251～400,2911,2061,141.2,3572,81.5,,,7662,8902,86.1,100,100,29.9,30.1
合計,４０１以上,6824,4882,139.8,7650,89.2,,,17797,19128,93.0,100,100,70.1,69.9
合計,計,9735,6943,140.2,11222,86.7,22617,85/4,25459,28030,90.8,100,100,100,100
