,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１１月累計,１月～１１月累計,１月～１１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,594,791,75.1,623,95.3,,,10117,7539,134.2,35.6,39.0,55.1,49.0
本田技研,４０１以上,485,733,66.2,782,62.0,,,10544,11588,91.0,16.1,20.3,44.9,51.0
本田技研,計,1079,1524,70.8,1405,76.8,7812,93/4,20661,19127,108.0,23.0,26.5,100,100
スズキ,251～400,286,358,79.9,272,105.1,,,3487,3769,92.5,17.1,13.4,49.7,39.1
スズキ,４０１以上,290,350,82.9,476,60.9,,,5427,5896,92.0,9.6,10.4,50.3,60.9
スズキ,計,576,708,81.4,748,77.0,4868,85/4,8914,9665,92.2,12.3,11.4,100,100
ヤマハ,251～400,556,675,82.4,668,83.2,,,8691,9924,87.6,33.3,33.5,59.8,53.7
ヤマハ,４０１以上,373,612,60.9,525,71.0,,,7487,9358,80.0,12.4,14.4,40.2,46.3
ヤマハ,計,929,1287,72.2,1193,77.9,7198,85/4,16178,19282,83.9,19.8,20.8,100,100
カワサキ,251～400,188,245,76.7,260,72.3,,,3069,3655,84.0,11.3,11.8,26.9,24.4
カワサキ,４０１以上,510,618,82.5,536,95.1,,,9504,9926,95.7,16.9,18.3,73.1,75.6
カワサキ,計,698,863,80.9,796,87.7,5607,91/4,12573,13581,92.6,14.9,16.1,100,100
その他,251～400,44,34,129.4,33,133.3,,,600,514,116.7,2.6,2.3,3.1,3.1
その他,４０１以上,1359,1540,88.2,1645,82.6,,,18983,17636,107.6,45.0,36.5,96.9,96.9
その他,計,1403,1574,89.1,1678,83.6,2603,02/4,19583,18150,107.9,29.9,25.1,100,100
合計,251～400,1668,2103,79.3,1856,89.9,,,25964,25401,102.2,100,100,35.6,33.3
合計,４０１以上,3017,3853,78.3,3964,76.1,,,51945,54404,95.5,100,100,64.4,66.7
合計,計,4685,5956,78.7,5820,80.5,22617,85/4,77909,79805,97.6,100,100,100,100
