Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 5月累計,1月～ 5月累計,1月～ 5月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,18年A,17年B,(A/B),本月,本年
ホンダ,1085,1957,55.4,1340,81.0,7812,1993年04月,5569,6570,84.8,18.6,20.9
スズキ,528,846,62.4,447,118.1,4868,1985年04月,2270,1959,115.9,9.1,8.5
ヤマハ,884,1285,68.8,1295,68.3,7198,1985年04月,3799,5126,74.1,15.2,14.3
カワサキ,1411,2507,56.3,974,144.9,5607,1991年04月,7193,3791,189.7,24.2,27.0
その他,1920,1971,97.4,1821,105.4,3190,2007年04月,7801,8225,94.8,32.9,29.3
計,5828,8566,68.0,5877,99.2,22617,1985年04月,26632,25671,103.7,100.0,100.0
