,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１０年(A),０９年(B),(A / B),本月,本年
本田技研,計,1524,1583,96.3,1367,111.5,7812,93/4,9848,9103,108.2,27.4,27.7
スズキ,計,730,740,98.6,993,73.5,4868,85/4,4515,4868,92.7,13.1,12.7
ヤマハ,計,698,764,91.4,1163,60.0,7198,85/4,4605,6622,69.5,12.6,13.0
カワサキ,計,767,660,116.2,996,77.0,5607,91/4,4744,6416,73.9,13.8,13.4
その他,計,1839,2080,88.4,3166,58.1,3190,07/4,11779,14722,80.0,33.1,33.2
合計,計,5558,5827,95.4,7685,72.3,22617,85/4,35491,41731,85.0,100,100
