,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１３年(A),１２年(B),(A / B),本月,本年
本田技研,計,1625,2143,75.8,1674,97.1,7812,93/04,6877,7112,96.7,25.8,25.9
スズキ,計,603,908,66.4,511,118.0,4868,85/04,2859,2352,121.6,9.6,10.8
ヤマハ,計,681,932,73.1,648,105.1,7198,85/04,2867,2450,117.0,10.8,10.8
カワサキ,計,1197,1571,76.2,1138,105.2,5607,91/04,4764,4809,99.1,19.0,18.0
その他,計,2194,2445,89.7,1796,122.2,3190,07/04,9169,8077,113.5,34.8,34.6
合計,計,6300,7999,78.8,5767,109.2,22617,85/04,26536,24800,107.0,100,100
