,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１０月累計,１月～１０月累計,１月～１０月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,791,891,88.8,657,120.4,,,9523,6916,137.7,37.6,39.2,51.9,48.6
本田技研,４０１以上,733,822,89.2,998,73.4,,,10059,10806,93.1,19.0,20.6,48.1,51.4
本田技研,計,1524,1713,89.0,1655,92.1,7812,93/4,19582,17722,110.5,25.6,26.7,100,100
スズキ,251～400,358,487,73.5,310,115.5,,,3201,3497,91.5,17.0,13.2,50.6,38.4
スズキ,４０１以上,350,446,78.5,410,85.4,,,5137,5420,94.8,9.1,10.5,49.4,61.6
スズキ,計,708,933,75.9,720,98.3,4868,85/4,8338,8917,93.5,11.9,11.4,100,100
ヤマハ,251～400,675,820,82.3,865,78.0,,,8135,9256,87.9,32.1,33.5,52.4,53.3
ヤマハ,４０１以上,612,643,95.2,728,84.1,,,7114,8833,80.5,15.9,14.5,47.6,46.7
ヤマハ,計,1287,1463,88.0,1593,80.8,7198,85/4,15249,18089,84.3,21.6,20.8,100,100
カワサキ,251～400,245,311,78.8,303,80.9,,,2881,3395,84.9,11.7,11.9,28.4,24.3
カワサキ,４０１以上,618,698,88.5,741,83.4,,,8994,9390,95.8,16.0,18.4,71.6,75.7
カワサキ,計,863,1009,85.5,1044,82.7,5607,91/4,11875,12785,92.9,14.5,16.2,100,100
その他,251～400,34,48,70.8,56,60.7,,,556,481,115.6,1.6,2.3,2.2,3.1
その他,４０１以上,1540,1382,111.4,1590,96.9,,,17624,15991,110.2,40.0,36.0,97.8,96.9
その他,計,1574,1430,110.1,1646,95.6,2603,02/4,18180,16472,110.4,26.4,24.8,100,100
合計,251～400,2103,2557,82.2,2191,96.0,,,24296,23545,103.2,100,100,35.3,33.2
合計,４０１以上,3853,3991,96.5,4467,86.3,,,48928,50440,97.0,100,100,64.7,66.8
合計,計,5956,6548,91.0,6658,89.5,22617,85/4,73224,73985,99.0,100,100,100,100
