,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１４年(A),１３年(B),(A / B),本月,本年
本田技研,計,1751,2496,70.2,2143,81.7,7812,93/04,6166,5252,117.4,25.4,24.7
スズキ,計,554,812,68.2,908,61.0,4868,85/04,2225,2256,98.6,8.0,8.9
ヤマハ,計,1231,1438,85.6,932,132.1,7198,85/04,3997,2186,182.8,17.9,16.0
カワサキ,計,1387,1417,97.9,1571,88.3,5607,91/04,4490,3567,125.9,20.1,18.0
その他,計,1973,3162,62.4,2445,80.7,3190,07/04,8097,6975,116.1,28.6,32.4
合計,計,6896,9325,74.0,7999,86.2,22617,85/04,24975,20236,123.4,100,100
