,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１０月累計,１月～１０月累計,１月～１０月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１２年(A),１１年(B),(A / B),本月,本年
本田技研,計,1314,1513,86.8,1105,118.9,7812,93/4,14812,10448,141.8,26.1,28.3
スズキ,計,424,432,98.1,454,93.4,4868,85/4,4811,5028,95.7,8.4,9.2
ヤマハ,計,490,511,95.9,476,102.9,7198,85/4,5281,5003,105.6,9.7,10.1
カワサキ,計,953,827,115.2,924,103.1,5607,91/4,9578,9310,102.9,18.9,18.3
その他,計,1861,1981,93.9,1498,124.2,3190,07/4,17886,16268,109.9,36.9,34.2
合計,計,5042,5264,95.8,4457,113.1,22617,85/4,52368,46057,113.7,100,100
