,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1004,1060,94.7,1594,63.0,,,6312,8508,74.2,33.1,36.1,48.5,45.6
本田技研,４０１以上,1068,1162,91.9,1291,82.7,,,7543,8460,89.2,19.7,21.5,51.5,54.4
本田技研,計,2072,2222,93.2,2885,71.8,7812,93/4,13855,16968,81.7,24.5,26.4,100,100
スズキ,251～400,390,397,98.2,643,60.7,,,2713,3904,69.5,12.9,15.5,38.2,42.3
スズキ,４０１以上,631,575,109.7,606,104.1,,,3706,3307,112.1,11.6,10.6,61.8,57.7
スズキ,計,1021,972,105.0,1249,81.7,4868,85/4,6419,7211,89.0,12.1,12.2,100,100
ヤマハ,251～400,1046,944,110.8,1386,75.5,,,5549,7584,73.2,34.5,31.7,52.8,47.6
ヤマハ,４０１以上,934,965,96.8,1373,68.0,,,6119,7468,81.9,17.2,17.5,47.2,52.4
ヤマハ,計,1980,1909,103.7,2759,71.8,7198,85/4,11668,15052,77.5,23.4,22.2,100,100
カワサキ,251～400,494,393,125.7,665,74.3,,,2606,3700,70.4,16.3,14.9,29.1,25.0
カワサキ,４０１以上,1202,1206,99.7,1476,81.4,,,7814,9501,82.2,22.1,22.3,70.9,75.0
カワサキ,計,1696,1599,106.1,2141,79.2,5607,91/4,10420,13201,78.9,20.0,19.8,100,100
その他,251～400,101,129,78.3,18,561.1,,,307,242,126.9,3.3,1.8,5.9,3.0
その他,４０１以上,1600,1666,96.0,1566,102.2,,,9844,8789,112.0,29.4,28.1,94.1,97.0
その他,計,1701,1795,94.8,1584,107.4,1795,00/6,10151,9031,112.4,20.1,19.3,100,100
合計,251～400,3035,2923,103.8,4306,70.5,,,17487,23938,73.1,100,100,35.8,33.3
合計,４０１以上,5435,5574,97.5,6312,86.1,,,35026,37525,93.3,100,100,64.2,66.7
合計,計,8470,8497,99.7,10618,79.8,22617,85/4,52513,61463,85.4,100,100,100,100
