,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,549,540,101.7,798,68.8,,,1089,1218,89.4,38.2,40.5,41.6,48.4
本田技研,４０１以上,771,390,197.7,708,108.9,,,1161,1250,92.9,20.8,19.1,58.4,51.6
本田技研,計,1320,930,141.9,1506,87.6,7812,93/4,2250,2468,91.2,25.6,25.6,100,100
スズキ,251～400,243,206,118.0,199,122.1,,,449,443,101.4,16.9,16.7,49.1,44.2
スズキ,４０１以上,252,315,80.0,362,69.6,,,567,691,82.1,6.8,9.3,50.9,55.8
スズキ,計,495,521,95.0,561,88.2,4868,85/4,1016,1134,89.6,9.6,11.6,100,100
ヤマハ,251～400,444,348,127.6,429,103.5,,,792,773,102.5,30.9,29.4,48.5,49.3
ヤマハ,４０１以上,472,344,137.2,426,110.8,,,816,762,107.1,12.7,13.4,51.5,50.7
ヤマハ,計,916,692,132.4,855,107.1,7198,85/4,1608,1535,104.8,17.8,18.3,100,100
カワサキ,251～400,155,120,129.2,188,82.4,,,275,320,85.9,10.8,10.2,18.7,20.8
カワサキ,４０１以上,672,373,180.2,599,112.2,,,1045,1017,102.8,18.1,17.2,81.3,79.2
カワサキ,計,827,493,167.7,787,105.1,5607,91/4,1320,1337,98.7,16.1,15.0,100,100
その他,251～400,48,37,129.7,33,145.5,,,85,73,116.4,3.3,3.2,3.0,3.3
その他,４０１以上,1543,959,160.9,1573,98.1,,,2502,2578,97.1,41.6,41.1,97.0,96.7
その他,計,1591,996,159.7,1606,99.1,2603,02/4,2587,2651,97.6,30.9,29.5,100,100
合計,251～400,1439,1251,115.0,1647,87.4,,,2690,2827,95.2,100,100,27.9,30.6
合計,４０１以上,3710,2381,155.8,3668,101.1,,,6091,6298,96.7,100,100,72.1,69.4
合計,計,5149,3632,141.8,5315,96.9,22617,85/4,8781,9125,96.2,100,100,100,100
