,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～12月累計,１月～12月累計,１月～12月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,14年(A),13年(B),(A / B),本月,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,732,794,92.2,775,94.5,7812,93/4,16762,17448,96.1,17.2,23.9
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,274,282,97.2,429,63.9,4868,85/4,5838,6777,86.1,6.4,8.3
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,679,845,80.4,662,102.6,7198,85/4,12847,7516,170.9,15.9,18.3
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,546,617,88.5,881,62.0,5607,91/4,11295,10481,107.8,12.8,16.1
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2033,1593,127.6,1883,108.0,3190,07/4,23409,23067,101.5,47.7,33.4
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,4264,4131,103.2,4630,92.1,22617,85/4,70151,65289,107.4,100,100
