,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～６月累計,１月～６月累計,１月～６月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,861,684,125.9,940,91.6,,,4343,5728,75.8,38.0,35.8,51.2,47.1
本田技研,４０１以上,821,780,105.3,971,84.6,,,4884,6235,78.3,17.4,17.8,48.8,52.9
本田技研,計,1682,1464,114.9,1911,88.0,7812,93/4,9227,11963,77.1,24.1,23.3,100,100
スズキ,251～400,313,308,101.6,280,111.8,,,1744,1757,99.3,13.8,14.4,38.4,35.7
スズキ,４０１以上,503,555,90.6,715,70.3,,,3145,2891,108.8,10.7,11.5,61.6,64.3
スズキ,計,816,863,94.6,995,82.0,4868,85/4,4889,4648,105.2,11.7,12.4,100,100
ヤマハ,251～400,786,838,93.8,909,86.5,,,4253,4608,92.3,34.7,35.1,51.6,52.2
ヤマハ,４０１以上,736,687,107.1,713,103.2,,,3901,4213,92.6,15.6,14.2,48.4,47.8
ヤマハ,計,1522,1525,99.8,1622,93.8,7198,85/4,8154,8821,92.4,21.8,20.6,100,100
カワサキ,251～400,261,301,86.7,291,89.7,,,1445,1650,87.6,11.5,11.9,24.6,23.7
カワサキ,４０１以上,802,826,97.1,1071,74.9,,,4655,5825,79.9,17.0,17.0,75.4,76.3
カワサキ,計,1063,1127,94.3,1362,78.0,5607,91/4,6100,7475,81.6,15.2,15.4,100,100
その他,251～400,43,67,64.2,63,68.3,,,339,336,100.9,1.9,2.8,2.3,3.0
その他,４０１以上,1850,2103,88.0,1993,92.8,,,10875,10881,99.9,39.3,39.6,97.7,97.0
その他,計,1893,2170,87.2,2056,92.1,2655,03/4,11214,11217,100.0,27.1,28.3,100,100
合計,251～400,2264,2198,103.0,2483,91.2,,,12124,14079,86.1,100,100,32.5,30.6
合計,４０１以上,4712,4951,95.2,5463,86.3,,,27460,30045,91.4,100,100,67.5,69.4
合計,計,6976,7149,97.6,7946,87.8,22617,85/4,39584,44124,89.7,100,100,100,100
