,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～９月累計,１月～９月累計,１月～９月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１１年(A),１０年(B),(A / B),本月,本年
ホンダ,1724,1350,127.7,1046,164.8,12707,82/ 7,10667,9163,116.4,40.7,35.0
ヤマハ,1003,846,118.6,1002,100.1,9023,87/ 7,7438,7435,100.0,23.7,24.4
カワサキ,501,727,68.9,593,84.5,4093,93/ 4,4816,5022,95.9,11.8,15.8
スズキ,581,501,116.0,501,116.0,7280,83/ 4,3927,4459,88.1,13.7,12.9
その他,432,430,100.5,433,99.8,898,08/ 7,3641,3969,91.7,10.2,11.9
合計,4241,3854,110.0,3575,118.6,27701,88/ 4,30489,30048,101.5,100.0,100.0
