Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 11月累計,1月～ 11月累計,1月～ 11月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,22年A,21年B,(A/B),本月,本年
ホ ン ダ,1940,1940,100.0,3027,64.1,12707,1982/ 7,28529,32963,86.5,40.0,42.8
ヤ マ ハ,959,1047,91.6,1139,84.2,9023,1987/ 7,12037,16176,74.4,19.8,18.1
カワサキ,739,962,76.8,872,84.7,4093,1993/ 4,8425,7980,105.6,15.2,12.6
ス ズ キ,687,951,72.2,791,86.9,7280,1983/ 4,11884,11418,104.1,14.2,17.8
そ の 他,528,577,91.5,517,102.1,898,2008/ 7,5783,5384,107.4,10.9,8.7
合 計,4853,5477,88.6,6346,76.5,27701,1988/ 4,66658,73921,90.2,100.0,100.0
