Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 2月累計,1月～ 2月累計,1月～ 2月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,22年A,21年B,(A/B),本月,本年
ホ ン ダ,2890,2508,115.2,1966,147.0,12707,1982/ 7,5398,3341,161.6,50.5,50.4
ヤ マ ハ,847,776,109.1,1177,72.0,9023,1987/ 7,1623,2229,72.8,14.8,15.2
カワサキ,705,491,143.6,446,158.1,4093,1993/ 4,1196,951,125.8,12.3,11.2
ス ズ キ,946,833,113.6,837,113.0,7280,1983/ 4,1779,1562,113.9,16.5,16.6
そ の 他,340,365,93.2,347,98.0,898,2008/ 7,705,613,115.0,5.9,6.6
合 計,5728,4973,115.2,4773,120.0,27701,1988/ 4,10701,8696,123.1,100.0,100.0
