,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～1月累計,1月～1月累計,1月～1月累計,占 拠 率,占 拠 率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,2014年Ａ,2013年Ｂ,（Ａ／Ｂ）,本月,本年
ホ ン ダ,948,1085,87.4,1227,77.3,12707,1982/7,948,1227,77.3,25.7,25.7
ヤ マ ハ,1265,1513,83.6,448,282.4,9023,1987/7,1265,448,282.4,34.2,34.2
カワサキ,761,591,128.8,441,172.6,4093,1993/4,761,441,172.6,20.6,20.6
ス ズ キ,482,439,109.8,466,103.4,7280,1983/4,482,466,103.4,13.0,13.0
そ の 他,239,271,88.2,270,88.5,898,2008/7,239,270,88.5,6.5,6.5
合 計,3695,3899,94.8,2852,129.6,27701,1988/4,3695,2852,129.6,100.0,100.0
