,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０８年(A),０７年(B),(A / B),本月,本年
ホンダ,1367,1567,87.2,2222,61.5,12707,82/ 7,2934,3816,76.9,31.7,34.4
ヤマハ,1223,1114,109.8,1243,98.4,9023,87/ 7,2337,2133,109.6,28.3,27.4
カワサキ,417,304,137.2,558,74.7,4093,93/ 4,721,976,73.9,9.7,8.4
スズキ,923,918,100.5,1006,91.7,7280,83/ 4,1841,1860,99.0,21.4,21.6
その他,384,316,121.5,262,146.6,553,07/ 8,700,560,125.0,8.9,8.2
合計,4314,4219,102.3,5291,81.5,27701,88/ 4,8533,9345,91.3,100.0,100.0
