Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 1月累計,1月～ 1月累計,1月～ 1月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,20年A,19年B,(A/B),本月,本年
ホ ン ダ,1117,1324,84.4,1214,92.0,12707,1982/ 7,1117,1214,92.0,35.2,35.2
ヤ マ ハ,1180,894,132.0,811,145.5,9023,1987/ 7,1180,811,145.5,37.2,37.2
カワサキ,243,278,87.4,271,89.7,4093,1993/ 4,243,271,89.7,7.7,7.7
ス ズ キ,440,524,84.0,462,95.2,7280,1983/ 4,440,462,95.2,13.9,13.9
そ の 他,190,261,72.8,212,89.6,898,2008/ 7,190,212,89.6,6.0,6.0
合 計,3170,3281,96.6,2970,106.7,27701,1988/ 4,3170,2970,106.7,100.0,100.0
