,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～9月累計,1月～9月累計,1月～9月累計,占 拠 率,占 拠 率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,2015年Ａ,2014年Ｂ,（Ａ／Ｂ）,本月,本年
ホ ン ダ,1203,1095,109.9,2087,57.6,12707,1982/ 7,10939,13478,81.2,26.7,27.3
ヤ マ ハ,1811,1458,124.2,1225,147.8,9023,1987/ 7,15777,12574,125.5,40.2,39.4
カワサキ,692,568,121.8,990,69.9,4093,1993/ 4,6492,7954,81.6,15.4,16.2
ス ズ キ,478,453,105.5,741,64.5,7280,1983/ 4,4343,5906,73.5,10.6,10.8
そ の 他,318,314,101.3,359,88.6,898,2008/ 7,2507,3040,82.5,7.1,6.3
合 計,4502,3888,115.8,5402,83.3,27701,1988/ 4,40058,42952,93.3,100.0,100.0
