,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年
ホンダ,1779,2093,85.0,1749,101.7,12707,82/7,10661,9568,111.4,21.5,24.9
ヤマハ,3663,3458,105.9,2401,152.6,9023,87/7,18029,12041,149.7,44.3,42.1
カワサキ,905,706,128.2,867,104.4,4093,93/4,4348,4829,90.0,10.9,10.2
スズキ,1777,1434,123.9,1158,153.5,7280,83/4,8289,6645,124.7,21.5,19.4
その他,151,206,73.3,160,94.4,315,95/4,1469,1075,136.7,1.8,3.4
合計,8275,7897,104.8,6335,130.6,27701,88/4,42796,34158,125.3,100.0,100.0
