,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１２月累計,１月～１２月累計,１月～１２月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０６年(A),０５年(B),(A / B),本月,本年
ホンダ,1928,2404,80.2,2557,75.4,12707,82/ 7,36794,40833,90.1,39.5,38.6
ヤマハ,1291,1469,87.9,1935,66.7,9023,87/ 7,25290,30225,83.7,26.5,26.6
カワサキ,391,736,53.1,559,69.9,4093,93/ 4,10054,10400,96.7,8.0,10.6
スズキ,969,1230,78.8,1145,84.6,7280,83/ 4,18716,16841,111.1,19.9,19.6
その他,297,335,88.7,321,92.5,452,06/ 6,4393,3739,117.5,6.1,4.6
合計,4876,6174,79.0,6517,74.8,27701,88/ 4,95247,102038,93.3,100.0,100.0
