,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０５年(A),０４年(B),(A / B),本月,本年
ホンダ,4437,3350,132.4,4136,107.3,12707,82/ 7,23116,18826,122.8,40.0,39.3
ヤマハ,3523,2832,124.4,3208,109.8,9023,87/ 7,17526,17862,98.1,31.8,29.8
カワサキ,1106,1103,100.3,1409,78.5,4093,93/ 4,6138,6639,92.5,10.0,10.4
スズキ,1683,1515,111.1,2028,83.0,7280,83/ 4,10000,11313,88.4,15.2,17.0
その他,335,325,103.1,302,110.9,442,02/ 4,2049,1748,117.2,3.0,3.5
合計,11084,9125,121.5,11083,100.0,27701,88/ 4,58829,56388,104.3,100.0,100.0
