,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０７年(A),０６年(B),(A / B),本月,本年
ホンダ,2713,3306,82.1,3595,75.5,12707,82/ 7,12851,14529,88.5,36.8,38.8
ヤマハ,1633,1885,86.6,2372,68.8,9023,87/ 7,7297,10727,68.0,22.1,22.0
カワサキ,909,889,102.2,1146,79.3,4093,93/ 4,3865,4522,85.5,12.3,11.7
スズキ,1622,2013,80.6,1711,94.8,7280,83/ 4,7152,7465,95.8,22.0,21.6
その他,501,530,94.5,408,122.8,530,07/ 4,1964,1773,110.8,6.8,5.9
合計,7378,8623,85.6,9232,79.9,27701,88/ 4,33129,39016,84.9,100.0,100.0
