,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０９年(A),０８年(B),(A / B),本月,本年
ホンダ,732,878,83.4,1567,46.7,12707,82/ 7,732,1567,46.7,24.6,24.6
ヤマハ,737,906,81.3,1114,66.2,9023,87/ 7,737,1114,66.2,24.7,24.7
カワサキ,428,544,78.7,304,140.8,4093,93/ 4,428,304,140.8,14.4,14.4
スズキ,658,724,90.9,918,71.7,7280,83/ 4,658,918,71.7,22.1,22.1
その他,425,525,81.0,316,134.5,898,08/ 7,425,316,134.5,14.3,14.3
合計,2980,3577,83.3,4219,70.6,27701,88/ 4,2980,4219,70.6,100.0,100.0
