Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 3月累計,1月～ 3月累計,1月～ 3月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,18年A,17年B,(A/B),本月,本年
ホ ン ダ,1260,787,160.1,1346,93.6,12707,1982/ 7,3030,2966,102.2,30.6,29.5
ヤ マ ハ,1562,1340,116.6,1295,120.6,9023,1987/ 7,3993,3505,113.9,38.0,38.8
カワサキ,500,407,122.9,506,98.8,4093,1993/ 4,1158,1187,97.6,12.2,11.3
ス ズ キ,636,477,133.3,460,138.3,7280,1983/ 4,1546,1156,133.7,15.5,15.0
そ の 他,156,182,85.7,194,80.4,898,2008/ 7,558,522,106.9,3.8,5.4
合 計,4114,3193,128.8,3801,108.2,27701,1988/ 4,10285,9336,110.2,100.0,100.0
