,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０９年(A),０８年(B),(A / B),本月,本年
ホンダ,1217,1705,71.4,2041,59.6,12707,82/ 7,5789,9217,62.8,29.0,28.1
ヤマハ,954,1353,70.5,1678,56.9,9023,87/ 7,4753,7609,62.5,22.7,23.1
カワサキ,639,992,64.4,1015,63.0,4093,93/ 4,3172,3967,80.0,15.2,15.4
スズキ,795,1166,68.2,1286,61.8,7280,83/ 4,4080,5987,68.1,18.9,19.8
その他,595,800,74.4,566,105.1,898,08/ 7,2821,2404,117.3,14.2,13.7
合計,4200,6016,69.8,6586,63.8,27701,88/ 4,20615,29184,70.6,100.0,100.0
