,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～8月累計,1月～8月累計,1月～8月累計,占 拠 率,占 拠 率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,2013年Ａ,2012年Ｂ,（Ａ／Ｂ）,本月,本年
ホ ン ダ,1977,2423,81.6,1957,101.0,12707,1982/ 7,14666,11764,124.7,40.4,39.2
ヤ マ ハ,877,875,100.2,868,101.0,9023,1987/ 7,6054,6311,95.9,17.9,16.2
カワサキ,860,1044,82.4,567,151.7,4093,1993/ 4,7829,3942,198.6,17.6,20.9
ス ズ キ,748,670,111.6,924,81.0,7280,1983/ 4,5236,4005,130.7,15.3,14.0
そ の 他,437,505,86.5,597,73.2,898,2008/ 7,3591,3773,95.2,8.9,9.6
合 計,4899,5517,88.8,4913,99.7,27701,1988/ 4,37376,29795,125.4,100.0,100.0
