,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～7月累計,1月～7月累計,1月～7月累計,占 拠 率,占 拠 率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,2014年Ａ,2013年Ｂ,（Ａ／Ｂ）,本月,本年
ホ ン ダ,1676,1820,92.1,2423,69.2,12707,1982/ 7,9995,12689,78.8,33.9,29.9
ヤ マ ハ,1331,1276,104.3,875,152.1,9023,1987/ 7,10239,5177,197.8,26.9,30.7
カワサキ,929,727,127.8,1044,89.0,4093,1993/ 4,6257,6969,89.8,18.8,18.7
ス ズ キ,653,620,105.3,670,97.5,7280,1983/ 4,4581,4488,102.1,13.2,13.7
そ の 他,350,355,98.6,505,69.3,898,2008/ 7,2331,3154,73.9,7.1,7.0
合 計,4939,4798,102.9,5517,89.5,27701,1988/ 4,33403,32477,102.9,100.0,100.0
