Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 6月累計,1月～ 6月累計,1月～ 6月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,21年A,20年B,(A/B),本月,本年
ホ ン ダ,3318,2425,136.8,3007,110.3,12707,1982/ 7,15270,14448,105.7,43.9,40.7
ヤ マ ハ,1565,1527,102.5,1968,79.5,9023,1987/ 7,9141,9603,95.2,20.7,24.3
カワサキ,759,627,121.1,400,189.8,4093,1993/ 4,3990,1837,217.2,10.1,10.6
ス ズ キ,1330,1003,132.6,963,138.1,7280,1983/ 4,6392,4120,155.1,17.6,17.0
そ の 他,579,457,126.7,391,148.1,898,2008/ 7,2769,1618,171.1,7.7,7.4
合 計,7551,6039,125.0,6729,112.2,27701,1988/ 4,37562,31626,118.8,100.0,100.0
