Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 3月累計,1月～ 3月累計,1月～ 3月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,23年A,22年B,(A/B),本月,本年
ホ ン ダ,2553,2896,88.2,2592,98.5,12707,1982/ 7,8664,7990,108.4,54.2,58.7
ヤ マ ハ,730,715,102.1,970,75.3,9023,1987/ 7,2115,2593,81.6,15.5,14.3
カワサキ,421,406,103.7,655,64.3,4093,1993/ 4,1170,1851,63.2,8.9,7.9
ス ズ キ,627,555,113.0,962,65.2,7280,1983/ 4,1657,2741,60.5,13.3,11.2
そ の 他,377,421,89.5,383,98.4,898,2008/ 7,1151,1088,105.8,8.0,7.8
合 計,4708,4993,94.3,5562,84.6,27701,1988/ 4,14757,16263,90.7,100.0,100.0
