,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,1月～11月累計,1月～11月累計,1月～11月累計,占 拠 率,占 拠 率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,2013年Ａ,2012年Ｂ,（Ａ／Ｂ）,本月,本年
ホ ン ダ,1183,1703,69.5,1275,92.8,12707,1982/ 7,19606,17018,115.2,29.2,38.0
ヤ マ ハ,1600,1105,144.8,584,274.0,9023,1987/ 7,9578,8497,112.7,39.5,18.6
カワサキ,518,930,55.7,361,143.5,4093,1993/ 4,10585,5190,203.9,12.8,20.5
ス ズ キ,465,609,76.4,615,75.6,7280,1983/ 4,7027,6189,113.5,11.5,13.6
そ の 他,286,426,67.1,474,60.3,898,2008/ 7,4746,5379,88.2,7.1,9.2
合 計,4052,4773,84.9,3309,122.5,27701,1988/ 4,51542,42273,121.9,100.0,100.0
