Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 2月累計,1月～ 2月累計,1月～ 2月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,17年A,16年B,(A/B),本月,本年
ホ ン ダ,1048,572,183.2,814,128.7,12707,1982/ 7,1620,1603,101.1,32.6,29.3
ヤ マ ハ,1214,996,121.9,1167,104.0,9023,1987/ 7,2210,2169,101.9,37.8,39.9
カワサキ,357,324,110.2,716,49.9,4093,1993/ 4,681,1046,65.1,11.1,12.3
ス ズ キ,438,258,169.8,293,149.5,7280,1983/ 4,696,570,122.1,13.6,12.6
そ の 他,153,175,87.4,218,70.2,898,2008/ 7,328,379,86.5,4.8,5.9
合 計,3210,2325,138.1,3208,100.1,27701,1988/ 4,5535,5767,96.0,100.0,100.0
